Date,MELI,ORLY
2022-05-02 04:00:00,1002.79,610.65
2022-05-03 04:00:00,996.64,603.49
2022-05-04 04:00:00,1023.21,628.08
2022-05-05 04:00:00,913.22,603.55
2022-05-06 04:00:00,927.55,608.4
2022-05-09 04:00:00,770.99,610.07
2022-05-10 04:00:00,774.44,611.81
2022-05-11 04:00:00,679.68,607.53
2022-05-12 04:00:00,722.93,622.34
2022-05-13 04:00:00,794.96,635.62
2022-05-16 04:00:00,787.81,638.83
2022-05-17 04:00:00,834.88,648.34
2022-05-18 04:00:00,749.3,599.87
2022-05-19 04:00:00,801.57,601.53
2022-05-20 04:00:00,775.65,572.57
2022-05-23 04:00:00,774.3,579.11
2022-05-24 04:00:00,699.86,608.18
2022-05-25 04:00:00,723.0,615.79
2022-05-26 04:00:00,783.44,639.15
2022-05-27 04:00:00,811.44,647.34
2022-05-31 04:00:00,785.88,637.17
2022-06-01 04:00:00,762.24,624.61
2022-06-02 04:00:00,836.74,634.12
2022-06-03 04:00:00,788.9,631.61
2022-06-06 04:00:00,803.99,637.8
2022-06-07 04:00:00,824.68,634.84
2022-06-08 04:00:00,824.62,624.83
2022-06-09 04:00:00,748.405,619.13
2022-06-10 04:00:00,691.69,607.44
2022-06-13 04:00:00,626.94,594.27
2022-06-14 04:00:00,616.4,596.69
2022-06-15 04:00:00,672.69,599.01
2022-06-16 04:00:00,612.7,585.0
2022-06-17 04:00:00,635.22,586.72
2022-06-21 04:00:00,656.7,597.35
2022-06-22 04:00:00,677.4,608.82
2022-06-23 04:00:00,698.64,628.19
2022-06-24 04:00:00,739.46,639.06
2022-06-27 04:00:00,717.31,641.12
2022-06-28 04:00:00,665.0,630.52
2022-06-29 04:00:00,660.13,637.13
2022-06-30 04:00:00,636.87,631.76
2022-07-01 04:00:00,659.95,636.08
2022-07-05 04:00:00,713.57,647.51
2022-07-06 04:00:00,704.55,657.75
2022-07-07 04:00:00,721.62,661.62
2022-07-08 04:00:00,708.63,657.88
2022-07-11 04:00:00,659.92,655.3
2022-07-12 04:00:00,653.63,653.29
2022-07-13 04:00:00,655.75,667.16
2022-07-14 04:00:00,655.69,673.78
2022-07-15 04:00:00,689.99,683.2
2022-07-18 04:00:00,691.84,672.74
2022-07-19 04:00:00,724.75,689.32
2022-07-20 04:00:00,779.68,689.96
2022-07-21 04:00:00,789.2,685.86
2022-07-22 04:00:00,763.92,688.2
2022-07-25 04:00:00,762.78,685.2
2022-07-26 04:00:00,727.79,675.35
2022-07-27 04:00:00,791.67,689.4
2022-07-28 04:00:00,803.75,707.01
2022-07-29 04:00:00,813.71,703.59
2022-08-01 04:00:00,813.97,708.99
2022-08-02 04:00:00,837.59,708.47
2022-08-03 04:00:00,890.87,705.37
2022-08-04 04:00:00,1034.83,706.92
2022-08-05 04:00:00,1024.81,709.01
2022-08-08 04:00:00,1024.25,712.27
2022-08-09 04:00:00,995.5,717.02
2022-08-10 04:00:00,1064.23,719.83
2022-08-11 04:00:00,1032.47,719.41
2022-08-12 04:00:00,1081.08,731.59
2022-08-15 04:00:00,1082.66,737.96
2022-08-16 04:00:00,1053.75,742.59
2022-08-17 04:00:00,997.9,743.76
2022-08-18 04:00:00,977.52,736.72
2022-08-19 04:00:00,909.76,736.55
2022-08-22 04:00:00,878.09,724.38
2022-08-23 04:00:00,887.04,720.09
2022-08-24 04:00:00,898.0,711.21
2022-08-25 04:00:00,919.18,713.73
2022-08-26 04:00:00,877.8,698.79
2022-08-29 04:00:00,875.17,704.77
2022-08-30 04:00:00,862.1,698.26
2022-08-31 04:00:00,855.36,697.12
2022-09-01 04:00:00,858.79,706.47
2022-09-02 04:00:00,855.91,702.7
2022-09-06 04:00:00,857.93,707.53
2022-09-07 04:00:00,887.69,724.41
2022-09-08 04:00:00,922.54,728.64
2022-09-09 04:00:00,970.99,721.02
2022-09-12 04:00:00,1002.01,727.42
2022-09-13 04:00:00,943.9,695.68
2022-09-14 04:00:00,960.33,689.43
2022-09-15 04:00:00,965.78,688.87
2022-09-16 04:00:00,919.11,693.51
2022-09-19 04:00:00,933.1,695.28
2022-09-20 04:00:00,905.69,701.07
2022-09-21 04:00:00,887.5,695.425
2022-09-22 04:00:00,850.0,693.56
2022-09-23 04:00:00,815.01,688.23
2022-09-26 04:00:00,799.58,693.72
2022-09-27 04:00:00,804.69,693.19
2022-09-28 04:00:00,865.24,717.63
2022-09-29 04:00:00,829.68,711.76
2022-09-30 04:00:00,827.78,703.35
2022-10-03 04:00:00,882.3,718.19
2022-10-04 04:00:00,948.25,729.71
2022-10-05 04:00:00,933.76,732.09
2022-10-06 04:00:00,929.18,732.41
2022-10-07 04:00:00,881.99,710.77
2022-10-10 04:00:00,872.6,724.57
2022-10-11 04:00:00,834.67,730.9
2022-10-12 04:00:00,820.65,727.56
2022-10-13 04:00:00,822.06,737.98
2022-10-14 04:00:00,756.88,731.91
2022-10-17 04:00:00,850.66,736.27
2022-10-18 04:00:00,853.29,742.11
2022-10-19 04:00:00,815.45,737.72
2022-10-20 04:00:00,820.47,730.92
2022-10-21 04:00:00,844.9,744.07
2022-10-24 04:00:00,827.16,768.46
2022-10-25 04:00:00,862.97,775.73
2022-10-26 04:00:00,833.36,777.46
2022-10-27 04:00:00,836.82,813.22
2022-10-28 04:00:00,881.75,836.3
2022-10-31 04:00:00,901.62,837.17
2022-11-01 04:00:00,919.34,834.0
2022-11-02 04:00:00,851.28,815.11
2022-11-03 04:00:00,870.88,819.37
2022-11-04 04:00:00,938.57,815.74
2022-11-07 05:00:00,940.78,830.2
2022-11-08 05:00:00,937.08,833.51
2022-11-09 05:00:00,897.62,828.7
2022-11-10 05:00:00,935.53,843.85
2022-11-11 05:00:00,974.89,815.6
2022-11-14 05:00:00,959.58,824.92
2022-11-15 05:00:00,1020.68,825.12
2022-11-16 05:00:00,972.82,833.98
2022-11-17 05:00:00,927.13,829.98
2022-11-18 05:00:00,962.08,838.27
2022-11-21 05:00:00,963.03,846.39
2022-11-22 05:00:00,957.16,852.13
2022-11-23 05:00:00,962.43,850.82
2022-11-25 05:00:00,951.57,855.97
2022-11-28 05:00:00,921.34,852.56
2022-11-29 05:00:00,889.26,849.73
2022-11-30 05:00:00,930.985,864.54
2022-12-01 05:00:00,941.01,857.18
2022-12-02 05:00:00,945.07,858.41
2022-12-05 05:00:00,881.9,843.1
2022-12-06 05:00:00,863.09,829.66
2022-12-07 05:00:00,863.81,828.79
2022-12-08 05:00:00,884.24,836.36
2022-12-09 05:00:00,896.48,827.8
2022-12-12 05:00:00,880.25,834.35
2022-12-13 05:00:00,870.65,818.76
2022-12-14 05:00:00,867.3,814.5
2022-12-15 05:00:00,835.09,807.2
2022-12-16 05:00:00,843.98,811.77
2022-12-19 05:00:00,884.27,816.43
2022-12-20 05:00:00,875.91,823.63
2022-12-21 05:00:00,900.1,833.62
2022-12-22 05:00:00,873.26,823.78
2022-12-23 05:00:00,878.32,833.55
2022-12-27 05:00:00,854.3,843.84
2022-12-28 05:00:00,839.57,844.62
2022-12-29 05:00:00,866.28,843.66
2022-12-30 05:00:00,846.24,844.03
2023-01-03 05:00:00,826.11,840.72
2023-01-04 05:00:00,837.44,826.74
2023-01-05 05:00:00,856.09,834.29
2023-01-06 05:00:00,873.47,842.52
2023-01-09 05:00:00,897.31,828.71
2023-01-10 05:00:00,915.78,826.88
2023-01-11 05:00:00,936.8,825.5
2023-01-12 05:00:00,1024.31,810.85
2023-01-13 05:00:00,1082.92,815.47
2023-01-17 05:00:00,1070.0,809.74
2023-01-18 05:00:00,1068.92,805.08
2023-01-19 05:00:00,1072.74,793.73
2023-01-20 05:00:00,1098.09,793.38
2023-01-23 05:00:00,1095.0,794.4
2023-01-24 05:00:00,1109.91,799.09
2023-01-25 05:00:00,1130.64,800.47
2023-01-26 05:00:00,1188.58,800.63
2023-01-27 05:00:00,1221.27,771.17
2023-01-30 05:00:00,1161.8,789.63
2023-01-31 05:00:00,1181.69,792.35
2023-02-01 05:00:00,1214.29,807.93
2023-02-02 05:00:00,1226.58,805.66
2023-02-03 05:00:00,1187.25,794.84
2023-02-06 05:00:00,1175.44,809.45
2023-02-07 05:00:00,1173.81,801.02
2023-02-08 05:00:00,1166.9,787.36
2023-02-09 05:00:00,1143.65,817.0
2023-02-10 05:00:00,1104.95,825.32
2023-02-13 05:00:00,1112.32,849.49
2023-02-14 05:00:00,1132.31,861.0
2023-02-15 05:00:00,1159.6,861.23
2023-02-16 05:00:00,1119.64,862.0
2023-02-17 05:00:00,1100.87,873.01
2023-02-21 05:00:00,1099.33,860.13
2023-02-22 05:00:00,1118.26,842.51
2023-02-23 05:00:00,1136.26,841.16
2023-02-24 05:00:00,1156.88,831.82
2023-02-27 05:00:00,1182.99,845.96
2023-02-28 05:00:00,1220.0,830.1
2023-03-01 05:00:00,1208.72,824.22
2023-03-02 05:00:00,1218.52,840.89
2023-03-03 05:00:00,1226.74,838.03
2023-03-06 05:00:00,1256.26,839.44
2023-03-07 05:00:00,1264.91,828.72
2023-03-08 05:00:00,1252.57,830.56
2023-03-09 05:00:00,1201.79,822.31
2023-03-10 05:00:00,1168.04,819.92
2023-03-13 04:00:00,1162.33,818.23
2023-03-14 04:00:00,1214.96,821.23
2023-03-15 04:00:00,1188.96,818.26
2023-03-16 04:00:00,1214.74,819.52
2023-03-17 04:00:00,1201.15,797.87
2023-03-20 04:00:00,1182.75,816.06
2023-03-21 04:00:00,1220.42,819.63
2023-03-22 04:00:00,1186.63,808.97
2023-03-23 04:00:00,1191.55,801.38
2023-03-24 04:00:00,1187.28,810.76
2023-03-27 04:00:00,1191.79,819.04
2023-03-28 04:00:00,1196.74,828.85
2023-03-29 04:00:00,1224.88,832.08
2023-03-30 04:00:00,1266.8,841.5
2023-03-31 04:00:00,1318.06,848.98
2023-04-03 04:00:00,1313.64,867.95
2023-04-04 04:00:00,1301.9,864.44
2023-04-05 04:00:00,1250.05,858.35
2023-04-06 04:00:00,1245.0,861.13
2023-04-10 04:00:00,1251.62,869.75
2023-04-11 04:00:00,1285.06,871.04
2023-04-12 04:00:00,1256.04,877.35
2023-04-13 04:00:00,1296.12,887.95
2023-04-14 04:00:00,1301.88,892.27
2023-04-17 04:00:00,1314.74,897.28
2023-04-18 04:00:00,1321.47,909.92
2023-04-19 04:00:00,1308.29,899.14
2023-04-20 04:00:00,1293.77,905.36
2023-04-21 04:00:00,1281.92,903.81
2023-04-24 04:00:00,1273.62,907.0
2023-04-25 04:00:00,1229.55,897.76
2023-04-26 04:00:00,1235.63,894.2
2023-04-27 04:00:00,1244.92,915.67
2023-04-28 04:00:00,1277.49,917.31
2023-05-01 04:00:00,1291.65,929.6
2023-05-02 04:00:00,1255.74,936.52
2023-05-03 04:00:00,1279.99,931.67
2023-05-04 04:00:00,1213.38,933.62
2023-05-05 04:00:00,1243.59,940.78
2023-05-08 04:00:00,1284.5,946.64
2023-05-09 04:00:00,1248.05,953.46
2023-05-10 04:00:00,1288.92,954.77
2023-05-11 04:00:00,1296.52,958.26
2023-05-12 04:00:00,1279.67,962.1
2023-05-15 04:00:00,1296.8,945.28
2023-05-16 04:00:00,1275.39,937.55
2023-05-17 04:00:00,1320.15,939.43
2023-05-18 04:00:00,1332.49,941.8
2023-05-19 04:00:00,1310.88,954.3
2023-05-22 04:00:00,1339.62,928.14
2023-05-23 04:00:00,1299.83,911.99
2023-05-24 04:00:00,1284.13,928.94
2023-05-25 04:00:00,1249.91,935.02
2023-05-26 04:00:00,1282.26,923.0
2023-05-30 04:00:00,1249.72,928.08
2023-05-31 04:00:00,1239.0,903.31
2023-06-01 04:00:00,1258.02,895.28
2023-06-02 04:00:00,1270.67,895.34
2023-06-05 04:00:00,1289.49,902.11
2023-06-06 04:00:00,1254.45,885.93
2023-06-07 04:00:00,1208.29,883.11
2023-06-08 04:00:00,1209.74,906.68
2023-06-09 04:00:00,1208.55,906.99
2023-06-12 04:00:00,1238.15,911.78
2023-06-13 04:00:00,1209.52,916.27
2023-06-14 04:00:00,1211.84,909.64
2023-06-15 04:00:00,1223.77,927.49
2023-06-16 04:00:00,1194.74,919.02
2023-06-20 04:00:00,1197.74,917.49
2023-06-21 04:00:00,1210.9,937.93
2023-06-22 04:00:00,1241.51,932.55
2023-06-23 04:00:00,1226.49,924.76
2023-06-26 04:00:00,1155.51,931.65
2023-06-27 04:00:00,1162.09,935.39
2023-06-28 04:00:00,1207.69,937.03
2023-06-29 04:00:00,1171.45,937.42
2023-06-30 04:00:00,1184.6,955.3
2023-07-03 04:00:00,1193.75,947.08
2023-07-05 04:00:00,1247.36,947.84
2023-07-06 04:00:00,1153.59,944.33
2023-07-07 04:00:00,1153.82,934.47
2023-07-10 04:00:00,1087.15,961.09
2023-07-11 04:00:00,1121.58,967.56
2023-07-12 04:00:00,1141.13,969.23
2023-07-13 04:00:00,1146.72,956.06
2023-07-14 04:00:00,1135.72,961.41
2023-07-17 04:00:00,1179.17,968.96
2023-07-18 04:00:00,1208.66,962.41
2023-07-19 04:00:00,1225.75,963.45
2023-07-20 04:00:00,1198.34,952.23
2023-07-21 04:00:00,1221.03,956.23
2023-07-24 04:00:00,1198.43,957.98
2023-07-25 04:00:00,1181.84,964.31
2023-07-26 04:00:00,1176.23,965.62
2023-07-27 04:00:00,1169.9,919.61
2023-07-28 04:00:00,1225.02,928.79
2023-07-31 04:00:00,1238.05,925.79
2023-08-01 04:00:00,1210.4,931.05
2023-08-02 04:00:00,1164.81,918.46
2023-08-03 04:00:00,1323.11,930.78
2023-08-04 04:00:00,1296.16,925.93
2023-08-07 04:00:00,1358.81,931.76
2023-08-08 04:00:00,1328.36,929.2
2023-08-09 04:00:00,1312.66,929.74
2023-08-10 04:00:00,1387.06,936.64
2023-08-11 04:00:00,1330.0,943.56
2023-08-14 04:00:00,1296.52,945.15
2023-08-15 04:00:00,1286.04,951.36
2023-08-16 04:00:00,1247.44,951.06
2023-08-17 04:00:00,1196.56,931.67
2023-08-18 04:00:00,1199.59,938.0
2023-08-21 04:00:00,1228.51,945.49
2023-08-22 04:00:00,1242.73,934.03
2023-08-23 04:00:00,1258.87,947.17
2023-08-24 04:00:00,1215.31,935.14
2023-08-25 04:00:00,1237.84,931.04
2023-08-28 04:00:00,1249.46,934.43
2023-08-29 04:00:00,1304.66,946.62
2023-08-30 04:00:00,1343.13,952.15
2023-08-31 04:00:00,1372.36,939.7
2023-09-01 04:00:00,1421.64,947.45
2023-09-05 04:00:00,1435.05,945.53
2023-09-06 04:00:00,1425.97,944.79
2023-09-07 04:00:00,1436.35,945.81
2023-09-08 04:00:00,1428.19,958.36
2023-09-11 04:00:00,1422.93,942.5
2023-09-12 04:00:00,1399.14,924.27
2023-09-13 04:00:00,1397.46,926.85
2023-09-14 04:00:00,1383.43,940.68
2023-09-15 04:00:00,1396.66,930.21
2023-09-18 04:00:00,1383.73,929.35
2023-09-19 04:00:00,1342.64,929.18
2023-09-20 04:00:00,1326.34,945.83
2023-09-21 04:00:00,1293.28,926.47
2023-09-22 04:00:00,1276.96,936.02
2023-09-25 04:00:00,1290.53,933.64
2023-09-26 04:00:00,1268.62,914.56
2023-09-27 04:00:00,1256.52,914.17
2023-09-28 04:00:00,1274.14,917.41
2023-09-29 04:00:00,1267.88,908.86
2023-10-02 04:00:00,1259.41,898.62
2023-10-03 04:00:00,1228.28,889.6
2023-10-04 04:00:00,1231.56,897.2
2023-10-05 04:00:00,1214.38,900.8
2023-10-06 04:00:00,1237.53,902.15
2023-10-09 04:00:00,1238.38,914.67
2023-10-10 04:00:00,1258.31,918.13
2023-10-11 04:00:00,1243.95,916.41
2023-10-12 04:00:00,1229.96,919.44
2023-10-13 04:00:00,1223.5,926.46
2023-10-16 04:00:00,1226.2,945.3
2023-10-17 04:00:00,1240.65,946.06
2023-10-18 04:00:00,1211.7,930.5
2023-10-19 04:00:00,1179.96,898.39
2023-10-20 04:00:00,1169.67,907.06
2023-10-23 04:00:00,1180.13,878.67
2023-10-24 04:00:00,1221.99,872.0
2023-10-25 04:00:00,1190.98,874.92
2023-10-26 04:00:00,1175.0,921.64
2023-10-27 04:00:00,1200.45,924.56
2023-10-30 04:00:00,1226.24,930.14
2023-10-31 04:00:00,1240.74,930.44
2023-11-01 04:00:00,1300.01,945.66
2023-11-02 04:00:00,1319.5,948.09
2023-11-03 04:00:00,1387.79,952.84
2023-11-06 05:00:00,1374.77,956.1
2023-11-07 05:00:00,1382.72,974.61
2023-11-08 05:00:00,1367.34,973.7
2023-11-09 05:00:00,1341.38,978.14
2023-11-10 05:00:00,1374.39,986.22
2023-11-13 05:00:00,1378.29,995.92
2023-11-14 05:00:00,1430.51,982.96
2023-11-15 05:00:00,1442.55,973.335
2023-11-16 05:00:00,1469.55,971.99
2023-11-17 05:00:00,1448.0,968.55
2023-11-20 05:00:00,1481.99,978.61
2023-11-21 05:00:00,1495.48,983.59
2023-11-22 05:00:00,1525.0,991.46
2023-11-24 05:00:00,1535.5,987.16
2023-11-27 05:00:00,1599.21,983.13
2023-11-28 05:00:00,1589.09,977.43
2023-11-29 05:00:00,1610.58,973.94
2023-11-30 05:00:00,1620.46,982.38
2023-12-01 05:00:00,1652.01,980.52
2023-12-04 05:00:00,1599.63,983.22
2023-12-05 05:00:00,1584.6,977.97
2023-12-06 05:00:00,1569.25,985.2
2023-12-07 05:00:00,1590.94,953.71
2023-12-08 05:00:00,1577.98,945.88
2023-12-11 05:00:00,1614.7,965.52
2023-12-12 05:00:00,1616.92,972.79
2023-12-13 05:00:00,1612.16,983.41
2023-12-14 05:00:00,1603.51,951.12
2023-12-15 05:00:00,1606.19,951.57
2023-12-18 05:00:00,1619.57,960.13
2023-12-19 05:00:00,1629.99,964.26
2023-12-20 05:00:00,1597.44,950.25
2023-12-21 05:00:00,1598.33,957.55
2023-12-22 05:00:00,1589.08,952.06
2023-12-26 05:00:00,1576.64,942.06
2023-12-27 05:00:00,1590.88,942.55
2023-12-28 05:00:00,1581.6,941.21
2023-12-29 05:00:00,1571.54,950.08
2024-01-02 05:00:00,1529.16,944.98
2024-01-03 05:00:00,1500.0,943.71
2024-01-04 05:00:00,1519.38,935.8
2024-01-05 05:00:00,1538.83,925.4
2024-01-08 05:00:00,1575.6,927.94
2024-01-09 05:00:00,1573.34,927.9
2024-01-10 05:00:00,1598.16,936.55
2024-01-11 05:00:00,1591.68,944.61
2024-01-12 05:00:00,1658.58,953.06
2024-01-16 05:00:00,1672.67,990.25
2024-01-17 05:00:00,1635.28,992.16
2024-01-18 05:00:00,1661.98,1015.53
2024-01-19 05:00:00,1726.19,1028.1
2024-01-22 05:00:00,1756.3,1035.94
2024-01-23 05:00:00,1759.91,1025.32
2024-01-24 05:00:00,1762.7,1018.45
2024-01-25 05:00:00,1738.8,1024.04
2024-01-26 05:00:00,1795.8,1022.51
2024-01-29 05:00:00,1777.43,1030.01
2024-01-30 05:00:00,1735.3,1041.12
2024-01-31 05:00:00,1711.81,1023.05
2024-02-01 05:00:00,1748.28,1041.75
2024-02-02 05:00:00,1772.9,1047.31
2024-02-05 05:00:00,1774.75,1055.62
2024-02-06 05:00:00,1710.39,1051.86
2024-02-07 05:00:00,1713.87,1067.02
2024-02-08 05:00:00,1732.83,1020.83
2024-02-09 05:00:00,1742.26,1025.82
2024-02-12 05:00:00,1733.23,1026.39
2024-02-13 05:00:00,1706.24,1039.26
2024-02-14 05:00:00,1746.37,1049.3
2024-02-15 05:00:00,1771.83,1047.9
2024-02-16 05:00:00,1768.78,1051.05
2024-02-20 05:00:00,1740.01,1035.63
2024-02-21 05:00:00,1737.77,1039.77
2024-02-22 05:00:00,1817.98,1054.81
2024-02-23 05:00:00,1629.32,1058.02
2024-02-26 05:00:00,1610.13,1062.07
2024-02-27 05:00:00,1607.44,1081.75
2024-02-28 05:00:00,1579.49,1092.96
2024-02-29 05:00:00,1595.3,1087.42
2024-03-01 05:00:00,1612.75,1085.45
2024-03-04 05:00:00,1560.08,1077.98
2024-03-05 05:00:00,1527.29,1079.67
2024-03-06 05:00:00,1525.59,1081.65
2024-03-07 05:00:00,1529.94,1089.43
2024-03-08 05:00:00,1512.5,1084.2
2024-03-11 04:00:00,1547.32,1086.13
2024-03-12 04:00:00,1545.56,1094.6
2024-03-13 04:00:00,1550.62,1101.4
2024-03-14 04:00:00,1561.27,1116.9
2024-03-15 04:00:00,1499.51,1113.18
2024-03-18 04:00:00,1509.05,1113.83
2024-03-19 04:00:00,1519.44,1134.63
2024-03-20 04:00:00,1528.84,1145.29
2024-03-21 04:00:00,1555.69,1162.94
2024-03-22 04:00:00,1571.99,1167.53
2024-03-25 04:00:00,1550.07,1137.07
2024-03-26 04:00:00,1537.46,1134.78
2024-03-27 04:00:00,1522.65,1135.52
2024-03-28 04:00:00,1511.96,1128.88
2024-04-01 04:00:00,1528.95,1130.28
2024-04-02 04:00:00,1512.51,1140.21
2024-04-03 04:00:00,1504.98,1132.95
2024-04-04 04:00:00,1487.81,1099.63
2024-04-05 04:00:00,1501.72,1117.56
2024-04-08 04:00:00,1488.58,1107.24
2024-04-09 04:00:00,1495.01,1095.74
2024-04-10 04:00:00,1478.0,1093.1
2024-04-11 04:00:00,1507.56,1083.0
2024-04-12 04:00:00,1444.14,1076.49
2024-04-15 04:00:00,1415.88,1069.27
2024-04-16 04:00:00,1397.88,1089.51
2024-04-17 04:00:00,1397.86,1094.8
2024-04-18 04:00:00,1370.25,1101.06
2024-04-19 04:00:00,1356.43,1090.94
2024-04-22 04:00:00,1368.23,1091.46
2024-04-23 04:00:00,1395.0,1092.35
2024-04-24 04:00:00,1370.0,1092.7
2024-04-25 04:00:00,1363.83,1054.13
2024-04-26 04:00:00,1406.0,1043.93
2024-04-29 04:00:00,1438.36,1037.04
2024-04-30 04:00:00,1458.7,1013.26
2024-05-01 04:00:00,1456.51,1005.11
2024-05-02 04:00:00,1505.99,1006.23
2024-05-03 04:00:00,1630.56,1012.95
2024-05-06 04:00:00,1653.85,1016.09
2024-05-07 04:00:00,1688.69,1020.71
2024-05-08 04:00:00,1716.78,1020.34
2024-05-09 04:00:00,1695.4,1030.72
2024-05-10 04:00:00,1693.97,1019.33
2024-05-13 04:00:00,1677.34,1012.75
2024-05-14 04:00:00,1683.91,1006.77
2024-05-15 04:00:00,1718.5,1010.38
2024-05-16 04:00:00,1739.15,1005.98
2024-05-17 04:00:00,1749.17,1012.06
2024-05-20 04:00:00,1787.73,995.33
2024-05-21 04:00:00,1772.07,995.59
2024-05-22 04:00:00,1736.78,991.44
2024-05-23 04:00:00,1707.4,975.87
2024-05-24 04:00:00,1693.57,986.96
2024-05-28 04:00:00,1708.0,957.51
2024-05-29 04:00:00,1709.86,957.9
2024-05-30 04:00:00,1699.95,963.64
2024-05-31 04:00:00,1725.58,963.26
2024-06-03 04:00:00,1693.14,956.61
2024-06-04 04:00:00,1630.65,970.3
2024-06-05 04:00:00,1604.9,976.86
2024-06-06 04:00:00,1621.09,982.42
2024-06-07 04:00:00,1600.16,978.7
2024-06-10 04:00:00,1601.88,975.14
2024-06-11 04:00:00,1580.0,1000.03
2024-06-12 04:00:00,1599.34,1004.24
2024-06-13 04:00:00,1580.53,995.78
2024-06-14 04:00:00,1582.14,1007.31
2024-06-17 04:00:00,1559.23,1043.25
2024-06-18 04:00:00,1573.4,1056.65
2024-06-20 04:00:00,1585.03,1080.57
2024-06-21 04:00:00,1600.05,1081.79
2024-06-24 04:00:00,1582.86,1083.52
2024-06-25 04:00:00,1642.28,1057.79
2024-06-26 04:00:00,1678.96,1050.85
2024-06-27 04:00:00,1660.89,1057.42
2024-06-28 04:00:00,1643.4,1056.06
2024-07-01 04:00:00,1597.6,1016.32
2024-07-02 04:00:00,1596.48,1037.06
2024-07-03 04:00:00,1591.44,1020.54
2024-07-05 04:00:00,1658.96,1026.82
2024-07-08 04:00:00,1683.75,1022.79
2024-07-09 04:00:00,1722.05,1015.62
2024-07-10 04:00:00,1703.55,1028.19
2024-07-11 04:00:00,1708.65,1032.99
2024-07-12 04:00:00,1761.22,1040.11
2024-07-15 04:00:00,1743.99,1042.41
2024-07-16 04:00:00,1720.43,1043.52
2024-07-17 04:00:00,1670.09,1043.63
2024-07-18 04:00:00,1623.26,1028.09
2024-07-19 04:00:00,1649.99,1042.86
2024-07-22 04:00:00,1687.38,1057.1
2024-07-23 04:00:00,1692.23,1049.01
2024-07-24 04:00:00,1642.55,1050.71
2024-07-25 04:00:00,1625.15,1092.91
2024-07-26 04:00:00,1651.69,1110.31
2024-07-29 04:00:00,1621.4,1118.19
2024-07-30 04:00:00,1626.15,1140.9
2024-07-31 04:00:00,1668.9,1126.34
2024-08-01 04:00:00,1606.06,1133.4
2024-08-02 04:00:00,1776.14,1137.02
2024-08-05 04:00:00,1776.0,1105.52
2024-08-06 04:00:00,1810.39,1111.3
2024-08-07 04:00:00,1859.7,1109.05
2024-08-08 04:00:00,1869.4,1120.9
2024-08-09 04:00:00,1883.62,1124.41
2024-08-12 04:00:00,1901.82,1121.07
2024-08-13 04:00:00,1916.2,1114.72
2024-08-14 04:00:00,1898.57,1129.22
2024-08-15 04:00:00,1996.44,1115.89
2024-08-16 04:00:00,1977.97,1119.52
2024-08-19 04:00:00,2028.0,1121.5
2024-08-20 04:00:00,2005.66,1126.57
2024-08-21 04:00:00,2007.46,1138.16
2024-08-22 04:00:00,1988.83,1127.67
2024-08-23 04:00:00,2000.31,1116.57
2024-08-26 04:00:00,2004.7,1120.28
2024-08-27 04:00:00,2036.21,1127.73
2024-08-28 04:00:00,1995.17,1138.7
2024-08-29 04:00:00,2015.79,1138.47
2024-08-30 04:00:00,2061.66,1129.97
2024-09-03 04:00:00,1990.17,1136.81
