Date,ADBE,AMD,AMGN,GOOG,NXPI,PCAR,REGN,ROST,TEAM,TSLA
2022-05-02 04:00:00,407.29,89.84,230.92,117.157,177.0,56.0067,652.02,101.32,235.28,300.98
2022-05-03 04:00:00,407.58,91.13,232.19,118.1295,178.07,56.72,660.49,100.45,223.54,303.0833
2022-05-04 04:00:00,423.35,99.42,236.1,122.575,185.92,58.6733,660.86,103.92,234.7,317.54
2022-05-05 04:00:00,400.51,93.87,234.35,116.7465,178.37,56.8,639.37,99.89,212.71,291.0933
2022-05-06 04:00:00,391.01,95.34,236.5,115.66,177.58,56.3333,623.05,96.24,202.26,288.55
2022-05-09 04:00:00,376.91,86.36,239.24,113.084,172.9,56.9,599.77,93.41,183.35,262.37
2022-05-10 04:00:00,393.03,88.73,240.71,114.5845,178.44,55.8333,615.09,89.62,180.98,266.68
2022-05-11 04:00:00,379.33,87.92,240.64,113.961,170.87,55.0733,613.05,87.85,169.28,244.6667
2022-05-12 04:00:00,388.49,87.06,244.72,113.161,173.66,55.66,633.96,89.12,168.24,242.6667
2022-05-13 04:00:00,405.45,95.12,243.4,116.5155,181.99,55.8333,645.52,92.06,188.9,256.53
2022-05-16 04:00:00,402.86,94.24,243.87,114.7925,176.99,55.52,655.01,91.81,177.0,241.4567
2022-05-17 04:00:00,409.65,102.47,245.35,116.7015,185.64,56.7333,667.56,93.06,174.43,253.87
2022-05-18 04:00:00,397.88,96.28,243.96,112.401,175.39,54.1133,659.2,92.8,162.49,236.6033
2022-05-19 04:00:00,394.38,96.67,244.77,110.7455,175.79,54.28,657.15,92.7,174.75,236.4733
2022-05-20 04:00:00,399.09,93.5,247.5,109.313,180.11,53.2067,661.14,71.87,177.4,221.3
2022-05-23 04:00:00,406.76,95.07,249.04,111.6665,180.69,54.5733,681.91,78.75,177.7,224.9667
2022-05-24 04:00:00,398.41,91.16,251.89,105.926,179.12,54.8267,686.02,77.61,164.17,209.3867
2022-05-25 04:00:00,402.5,92.65,253.01,105.8395,184.63,55.68,690.88,81.36,170.75,219.6
2022-05-26 04:00:00,408.6,98.75,253.05,108.296,192.63,56.0933,683.44,86.99,175.18,235.91
2022-05-27 04:00:00,428.22,102.26,255.26,112.799,195.93,57.1133,692.8,87.31,184.78,253.21
2022-05-31 04:00:00,416.48,101.86,256.74,114.039,189.76,57.8933,664.74,85.02,177.32,252.7533
2022-06-01 04:00:00,418.16,101.22,253.42,114.137,184.57,59.0267,658.92,82.66,179.25,246.79
2022-06-02 04:00:00,441.28,108.59,248.28,117.746,187.94,59.3,630.7,83.21,196.62,258.3333
2022-06-03 04:00:00,429.76,106.3,248.45,114.564,182.37,58.86,630.35,82.72,190.57,234.5167
2022-06-06 04:00:00,429.46,105.65,245.44,117.0105,180.01,59.0933,609.03,81.33,190.27,238.28
