0,Company Name
TSLA,"Tesla, Inc."
ORCL,Oracle Corporation
AMD,"Advanced Micro Devices, Inc."
ADBE,Adobe Inc.
CRM,"Salesforce, Inc."
CAT,Caterpillar Inc.
NOW,"ServiceNow, Inc."
KKR,KKR & Co. Inc.
FI,"Fiserv, Inc."
TGT,Target Corporation
BDX,"Becton, Dickinson and Company"
MSI,"Motorola Solutions, Inc."
PCAR,PACCAR Inc
ROST,"Ross Stores, Inc."
GWW,"W.W. Grainger, Inc."
DHI,"D.R. Horton, Inc."
URI,"United Rentals, Inc."
ODFL,"Old Dominion Freight Line, Inc."
LEN,Lennar Corporation
FICO,Fair Isaac Corporation
IT,"Gartner, Inc."
MLM,"Martin Marietta Materials, Inc."
IRM,Iron Mountain Incorporated
FSLR,"First Solar, Inc."
WST,"West Pharmaceutical Services, Inc."
NVR,"NVR, Inc."
HUBB,Hubbell Incorporated
WAT,Waters Corporation
BLDR,"Builders FirstSource, Inc."
EMN,Eastman Chemical Company
EPAM,"EPAM Systems, Inc."
BIO,"Bio-Rad Laboratories, Inc."
