Date,AJG,AZO,CTVA,ICE,MCK,MKL,ORLY,SLM,SNOW,SPOT
2022-05-02 04:00:00,165.85,2006.69,57.34,113.48,306.8,1348.73,610.65,16.93,177.76,108.86
2022-05-03 04:00:00,165.51,1976.29,57.26,114.48,307.81,1343.43,603.49,17.27,176.42,109.49
2022-05-04 04:00:00,170.37,2054.58,59.14,109.86,319.76,1368.79,628.08,18.15,186.0,112.55
2022-05-05 04:00:00,164.99,1973.09,58.04,101.63,315.23,1336.53,603.55,17.31,166.18,105.59
2022-05-06 04:00:00,164.48,2000.0,55.74,99.81,333.99,1329.02,608.4,17.0,155.27,104.68
2022-05-09 04:00:00,160.19,1951.66,53.08,96.99,326.47,1287.07,610.07,16.53,143.29,94.44
2022-05-10 04:00:00,158.25,1950.89,52.82,96.47,329.83,1287.39,611.81,15.97,143.76,99.17
2022-05-11 04:00:00,157.78,1930.98,53.6,94.55,332.09,1283.18,607.53,15.81,132.88,91.94
2022-05-12 04:00:00,157.48,1954.76,54.05,95.5,322.01,1291.06,622.34,15.96,140.6,97.08
2022-05-13 04:00:00,162.02,2001.11,55.47,98.27,324.24,1325.45,635.62,16.62,158.36,106.09
2022-05-16 04:00:00,161.14,2023.49,56.54,97.31,327.83,1325.11,638.83,16.97,144.51,101.05
2022-05-17 04:00:00,164.17,2031.87,57.61,99.12,333.16,1364.07,648.34,17.72,145.81,105.06
2022-05-18 04:00:00,156.71,1839.62,57.09,95.11,320.65,1348.89,599.87,16.98,137.76,104.4
2022-05-19 04:00:00,155.25,1889.39,59.0,95.9,319.13,1354.87,601.53,17.22,146.82,105.77
2022-05-20 04:00:00,155.0,1771.68,59.23,97.62,322.86,1333.08,572.57,17.55,141.49,107.27
2022-05-23 04:00:00,158.53,1805.22,60.91,98.11,327.63,1351.34,579.11,18.07,138.85,109.07
2022-05-24 04:00:00,157.76,1910.22,62.09,98.36,328.8,1341.66,608.18,18.05,129.63,103.5
2022-05-25 04:00:00,157.49,1964.66,62.01,97.52,333.48,1340.0,615.79,18.38,132.77,108.79
2022-05-26 04:00:00,161.02,2028.96,63.17,99.53,336.42,1377.07,639.15,19.05,126.8,108.62
2022-05-27 04:00:00,165.64,2055.39,62.91,102.7,334.96,1403.91,647.34,19.49,129.91,112.97
2022-05-31 04:00:00,161.94,2059.65,62.62,102.39,328.69,1369.43,637.17,19.59,127.65,112.77
2022-06-01 04:00:00,160.51,2035.11,62.33,101.99,322.21,1367.74,624.61,19.04,126.15,110.0
2022-06-02 04:00:00,164.37,2061.3,62.54,102.9,318.58,1388.44,634.12,19.56,138.24,116.5
2022-06-03 04:00:00,162.21,2058.04,62.0,100.94,316.38,1380.16,631.61,19.35,129.82,112.23
2022-06-06 04:00:00,162.0,2099.06,61.72,100.86,317.66,1392.25,637.8,19.53,128.07,111.04
2022-06-07 04:00:00,163.56,2119.98,62.38,101.76,321.65,1408.67,634.84,20.14,131.26,109.43
2022-06-08 04:00:00,161.18,2092.35,62.0,101.38,315.02,1380.36,624.83,19.65,135.57,116.03
2022-06-09 04:00:00,156.96,2101.15,61.08,99.5,312.03,1346.63,619.13,19.29,133.23,111.93
2022-06-10 04:00:00,153.0,2064.46,57.98,97.78,313.34,1330.89,607.44,18.25,122.42,102.23
2022-06-13 04:00:00,151.58,2026.66,56.24,96.82,306.99,1291.34,594.27,17.0,113.3,98.61
2022-06-14 04:00:00,153.23,2033.58,56.39,94.05,306.52,1296.65,596.69,16.99,113.87,98.05
2022-06-15 04:00:00,152.75,2013.81,55.53,95.63,307.68,1299.25,599.01,17.15,122.54,105.35
2022-06-16 04:00:00,149.05,2001.16,54.04,94.85,304.02,1261.21,585.0,14.96,114.38,97.85
2022-06-17 04:00:00,149.71,1992.55,53.22,90.33,300.57,1282.2,586.72,15.6,119.38,99.27
