Date,ADBE,AMD,AMGN,BAH,BIO,BLD,BLDR,BWXT,CACI,CAT,CHDN,CLH,CRH,CRM,DHI,EMN,EQIX,EXP,FCNCA,FICO,FSLR,GOOG,GPK,GWW,HUBB,HUBS,IRM,KIM,KKR,LAMR,LEN,LHX,LII,LNW,MLM,MSI,MUSA,NOW,NSC,NTAP,NVR,OC,ORCL,PCAR,POST,REGN,ROST,RPM,SAIA,TEAM,TOL,TSLA,URI,UTHR,WLK,WSO,WST
2022-05-02 04:00:00,407.29,89.84,230.92,82.45,501.42,185.29,63.28,50.76,266.18,212.07,106.675,101.02,39.75,177.57,70.76,101.86,702.39,124.38,649.46,374.09,73.64,117.157,21.82,490.82,194.4,390.71,50.7,24.62,52.94,109.55,75.3921,235.21,216.59,58.11,355.36,214.77,231.76,484.5,256.61,74.0,4432.65,93.34,74.0,56.0067,73.18,652.02,101.32,84.04,208.89,235.28,46.98,300.98,307.03,179.82,127.22,266.39,312.25
2022-05-03 04:00:00,407.58,91.13,232.19,83.24,500.93,185.23,64.83,50.75,265.03,213.62,104.495,102.95,40.57,178.36,71.72,104.95,721.32,129.1,657.08,370.52,75.11,118.1295,22.05,483.99,195.08,370.5,52.57,25.05,54.29,107.06,76.6602,237.53,215.74,58.83,366.48,215.19,234.78,481.86,256.08,74.06,4475.53,95.65,73.29,56.72,74.29,660.49,100.45,84.59,210.91,223.54,48.01,303.0833,312.45,179.68,133.57,264.28,306.45
2022-05-04 04:00:00,423.35,99.42,236.1,86.67,513.58,193.48,68.61,52.46,272.75,222.59,103.905,98.45,41.47,185.48,75.57,108.05,732.14,135.21,685.24,378.42,78.7,122.575,22.57,505.05,200.2,392.21,54.64,25.31,57.35,109.44,80.7648,241.8,221.85,59.0,377.57,219.38,246.2,499.46,264.67,76.7,4685.09,97.77,75.21,58.6733,75.65,660.86,103.92,87.01,225.89,234.7,50.52,317.54,320.51,186.36,140.33,273.87,318.44
2022-05-05 04:00:00,400.51,93.87,234.35,85.42,507.45,195.43,65.91,51.19,271.04,215.93,100.59,96.08,39.62,172.3,71.15,105.67,713.39,128.9,662.23,362.67,76.41,116.7465,22.13,483.14,196.88,341.21,54.58,24.2,55.36,107.19,76.2827,241.48,213.52,55.18,356.14,210.39,240.45,469.33,256.87,73.11,4446.0,95.06,72.8,56.8,75.5,639.37,99.89,84.89,218.2,212.71,47.91,291.0933,303.2,186.99,138.79,260.24,314.76
2022-05-06 04:00:00,391.01,95.34,236.5,84.34,501.46,195.45,65.09,50.33,262.7,214.65,100.5,96.43,39.25,169.7,70.02,105.89,713.44,126.68,651.6,349.89,72.14,115.66,21.75,477.92,196.51,356.38,54.24,23.99,53.55,104.35,76.031,243.83,212.74,52.46,346.0,206.51,236.2,456.74,255.74,72.99,4415.62,94.93,72.49,56.3333,80.75,623.05,96.24,84.36,216.93,202.26,47.67,288.55,295.46,184.09,137.4,256.68,306.34
2022-05-09 04:00:00,376.91,86.36,239.24,81.4,479.05,194.2,64.75,47.85,261.24,206.29,92.58,89.99,38.39,163.6,69.93,103.42,654.19,123.24,640.14,341.44,68.25,113.084,21.1,476.82,196.93,332.91,53.01,23.35,49.86,97.74,74.8112,239.25,215.83,47.2,332.79,202.08,234.07,425.87,249.5,71.32,4370.16,91.65,71.54,56.9,79.79,599.77,93.41,84.94,210.78,183.35,47.26,262.37,286.82,178.58,133.04,254.77,296.82
2022-05-10 04:00:00,393.03,88.73,240.71,81.68,490.17,192.57,65.13,48.14,260.07,202.99,94.81,91.09,38.16,167.15,68.21,102.14,630.05,118.88,643.05,358.41,67.58,114.5845,21.06,469.33,191.88,325.16,51.5,22.73,51.16,97.6,73.3398,237.68,216.25,47.66,328.14,202.85,237.18,432.32,245.75,73.02,4274.21,91.5,72.53,55.8333,78.6,615.09,89.62,83.77,214.49,180.98,46.1,266.68,293.69,179.11,127.35,255.23,296.26
2022-05-11 04:00:00,379.33,87.92,240.64,79.93,475.22,184.61,62.99,46.44,255.45,205.21,90.805,88.06,37.64,161.27,64.86,101.86,624.17,115.9,632.66,351.09,61.72,113.961,20.76,459.18,189.24,310.0,50.55,22.19,50.15,96.89,69.0223,238.48,209.51,47.33,321.56,201.95,238.25,420.36,246.54,69.74,4110.99,88.14,71.03,55.0733,78.88,613.05,87.85,83.55,206.61,169.28,44.15,244.6667,280.82,179.49,129.97,249.41,290.8
2022-05-12 04:00:00,388.49,87.06,244.72,79.62,482.81,194.02,64.0,47.36,256.48,203.03,92.57,88.25,38.24,160.42,67.56,101.03,629.88,120.16,627.1,352.73,61.4,113.161,20.76,469.24,194.45,309.73,51.9,22.5,48.3,96.12,71.9942,235.56,217.82,48.67,327.57,201.54,244.69,432.94,246.06,69.68,4247.75,92.02,70.73,55.66,78.52,633.96,89.12,84.18,205.2,168.24,45.92,242.6667,283.02,181.37,127.19,255.6,295.99
2022-05-13 04:00:00,405.45,95.12,243.4,80.53,502.11,198.18,66.89,48.75,256.67,204.33,96.96,90.85,39.22,166.91,68.53,103.05,659.8,123.09,646.0,361.53,64.25,116.5155,20.43,477.33,194.18,355.87,52.33,23.25,51.57,99.19,74.3078,236.18,221.63,51.53,332.84,215.29,248.8,452.65,249.32,71.21,4293.57,93.22,71.17,55.8333,79.51,645.52,92.06,84.24,215.05,188.9,47.68,256.53,288.44,183.44,130.55,258.13,304.97
