Ticker,Company Name
ADBE,Adobe Inc.
AMD,Advanced Micro Devices
AMGN,Amgen Inc
BAH,Booz Allen Hamilton Holding Corporation
BIO,"Bio-Rad Laboratories, Inc.Class A"
BLD,TopBuild Corp. Common Stock
BLDR,"Builders FirstSource, Inc."
BWXT,"BWX Technologies, Inc."
CACI,CACI INTERNATIONAL CLA
CART,Maplebear Inc. Common Stock
CAT,Caterpillar Inc.
CAVA,"CAVA Group, Inc."
CHDN,Churchill Downs Inc
CLH,"Clean Harbors, Inc"
CRH,CRH Public Limited Company
CRM,"Salesforce, Inc."
DAY,"Dayforce, Inc."
DHI,D.R. Horton Inc.
EMN,Eastman Chemical Company
EQIX,"Equinix, Inc. Common Stock REIT"
EXP,"Eagle Materials, Inc."
FCNCA,First Citizens BancShares Inc
FI,"Fiserv, Inc."
FICO,Fair Isaac Corporation
FSLR,"First Solar, Inc."
GOOG,Alphabet Inc. Class C Capital Stock
GPK,Graphic Packaging Holding Company
GWW,"W.W. Grainger, Inc."
HUBB,Hubbell Incorporated
HUBS,"HUBSPOT, INC."
IRM,Iron Mountain Inc.
KIM,Kimco Realty Corp.
KKR,KKR & Co. Inc.
LAMR,Lamar Advertising Co
LEN,Lennar Corporation Class A
LHX,"L3Harris Technologies, Inc."
LII,Lennox International Inc.
LNW,"Light & Wonder, Inc. Common Stock"
MLM,Martin Marietta Materials
MSI,"Motorola Solutions, Inc. New"
MUSA,MURPHY USA INC.
NOW,"SERVICENOW, INC."
NSC,Norfolk Southern Corp.
NTAP,"NetApp, Inc"
NVR,"NVR, Inc."
OC,Owens Corning
ORCL,Oracle Corp
PCAR,Paccar Inc
POST,"POST HOLDINGS, INC."
REGN,Regeneron Pharmaceuticals Inc
ROST,Ross Stores Inc
RPM,"RPM International, Inc."
SAIA,"Saia, Inc."
TEAM,Atlassian Corporation Class A Common Stock
TOL,"Toll Brothers, Inc."
TSLA,"Tesla, Inc. Common Stock"
URI,"United Rentals, Inc."
UTHR,United Therapeutics Corp
WLK,Westlake Corporation
WSO,"Watsco, Inc."
WST,"West Pharmaceutical Services, Inc."
