Date,HALO,SLM
2022-05-02 04:00:00,40.85,16.93
2022-05-03 04:00:00,40.94,17.27
2022-05-04 04:00:00,41.41,18.15
2022-05-05 04:00:00,40.29,17.31
2022-05-06 04:00:00,39.24,17.0
2022-05-09 04:00:00,37.35,16.53
2022-05-10 04:00:00,38.2,15.97
2022-05-11 04:00:00,38.58,15.81
2022-05-12 04:00:00,39.04,15.96
2022-05-13 04:00:00,40.42,16.62
2022-05-16 04:00:00,41.69,16.97
2022-05-17 04:00:00,44.46,17.72
2022-05-18 04:00:00,43.0,16.98
2022-05-19 04:00:00,43.84,17.22
2022-05-20 04:00:00,44.32,17.55
2022-05-23 04:00:00,44.33,18.07
2022-05-24 04:00:00,44.82,18.05
2022-05-25 04:00:00,46.29,18.38
2022-05-26 04:00:00,46.6,19.05
2022-05-27 04:00:00,48.3,19.49
2022-05-31 04:00:00,45.98,19.59
2022-06-01 04:00:00,45.4,19.04
2022-06-02 04:00:00,45.67,19.56
2022-06-03 04:00:00,45.62,19.35
2022-06-06 04:00:00,44.45,19.53
2022-06-07 04:00:00,46.01,20.14
2022-06-08 04:00:00,46.2,19.65
2022-06-09 04:00:00,44.98,19.29
2022-06-10 04:00:00,43.79,18.25
2022-06-13 04:00:00,43.1,17.0
2022-06-14 04:00:00,43.59,16.99
2022-06-15 04:00:00,44.63,17.15
2022-06-16 04:00:00,43.11,14.96
2022-06-17 04:00:00,44.14,15.6
2022-06-21 04:00:00,45.76,15.68
2022-06-22 04:00:00,45.9,15.53
2022-06-23 04:00:00,46.8,15.67
2022-06-24 04:00:00,46.9,16.26
2022-06-27 04:00:00,47.04,16.28
2022-06-28 04:00:00,45.78,16.1
2022-06-29 04:00:00,45.28,16.03
2022-06-30 04:00:00,44.0,15.94
2022-07-01 04:00:00,44.48,16.54
2022-07-05 04:00:00,46.33,16.2
2022-07-06 04:00:00,46.75,16.03
2022-07-07 04:00:00,50.17,16.42
2022-07-08 04:00:00,51.78,16.27
2022-07-11 04:00:00,50.0,15.99
2022-07-12 04:00:00,49.45,15.65
2022-07-13 04:00:00,48.39,15.73
2022-07-14 04:00:00,47.16,15.47
2022-07-15 04:00:00,49.16,15.75
2022-07-18 04:00:00,48.2,15.86
2022-07-19 04:00:00,50.06,16.67
2022-07-20 04:00:00,50.53,16.66
2022-07-21 04:00:00,50.19,16.91
2022-07-22 04:00:00,49.5,16.81
2022-07-25 04:00:00,50.47,16.66
2022-07-26 04:00:00,50.92,16.35
2022-07-27 04:00:00,51.7,17.25
2022-07-28 04:00:00,50.52,15.51
2022-07-29 04:00:00,48.9,15.6
2022-08-01 04:00:00,48.53,15.85
2022-08-02 04:00:00,47.93,15.37
2022-08-03 04:00:00,47.48,15.53
2022-08-04 04:00:00,45.39,15.37
2022-08-05 04:00:00,45.13,15.33
2022-08-08 04:00:00,45.04,15.55
2022-08-09 04:00:00,43.33,15.03
2022-08-10 04:00:00,44.1,15.8
2022-08-11 04:00:00,43.36,15.95
2022-08-12 04:00:00,43.14,16.17
2022-08-15 04:00:00,43.09,15.9
2022-08-16 04:00:00,44.48,16.13
2022-08-17 04:00:00,43.41,15.94
2022-08-18 04:00:00,43.11,15.95
2022-08-19 04:00:00,42.26,15.56
2022-08-22 04:00:00,41.9,14.96
2022-08-23 04:00:00,42.44,14.97
2022-08-24 04:00:00,42.39,14.87
2022-08-25 04:00:00,42.31,15.29
2022-08-26 04:00:00,40.29,14.84
2022-08-29 04:00:00,40.53,14.86
2022-08-30 04:00:00,40.73,14.96
2022-08-31 04:00:00,40.73,15.28
2022-09-01 04:00:00,40.58,14.78
