Date,BLD,BWXT,CACI,CHDN,CLH,EXP,GPK,HQY,KRG,LAMR,LII,LNW,MUSA,OC,POST,RPM,SAIA,TOL,UTHR,WLK,WSO
2022-05-02 04:00:00,185.29,50.76,266.18,106.675,101.02,124.38,21.82,63.92,21.87,109.55,216.59,58.11,231.76,93.34,73.18,84.04,208.89,46.98,179.82,127.22,266.39
2022-05-03 04:00:00,185.23,50.75,265.03,104.495,102.95,129.1,22.05,62.07,22.05,107.06,215.74,58.83,234.78,95.65,74.29,84.59,210.91,48.01,179.68,133.57,264.28
2022-05-04 04:00:00,193.48,52.46,272.75,103.905,98.45,135.21,22.57,63.2,22.59,109.44,221.85,59.0,246.2,97.77,75.65,87.01,225.89,50.52,186.36,140.33,273.87
2022-05-05 04:00:00,195.43,51.19,271.04,100.59,96.08,128.9,22.13,60.39,21.87,107.19,213.52,55.18,240.45,95.06,75.5,84.89,218.2,47.91,186.99,138.79,260.24
2022-05-06 04:00:00,195.45,50.33,262.7,100.5,96.43,126.68,21.75,58.8,21.65,104.35,212.74,52.46,236.2,94.93,80.75,84.36,216.93,47.67,184.09,137.4,256.68
2022-05-09 04:00:00,194.2,47.85,261.24,92.58,89.99,123.24,21.1,56.8,20.89,97.74,215.83,47.2,234.07,91.65,79.79,84.94,210.78,47.26,178.58,133.04,254.77
2022-05-10 04:00:00,192.57,48.14,260.07,94.81,91.09,118.88,21.06,55.99,20.63,97.6,216.25,47.66,237.18,91.5,78.6,83.77,214.49,46.1,179.11,127.35,255.23
2022-05-11 04:00:00,184.61,46.44,255.45,90.805,88.06,115.9,20.76,54.14,20.02,96.89,209.51,47.33,238.25,88.14,78.88,83.55,206.61,44.15,179.49,129.97,249.41
2022-05-12 04:00:00,194.02,47.36,256.48,92.57,88.25,120.16,20.76,54.76,20.68,96.12,217.82,48.67,244.69,92.02,78.52,84.18,205.2,45.92,181.37,127.19,255.6
2022-05-13 04:00:00,198.18,48.75,256.67,96.96,90.85,123.09,20.43,57.68,21.2,99.19,221.63,51.53,248.8,93.22,79.51,84.24,215.05,47.68,183.44,130.55,258.13
2022-05-16 04:00:00,197.38,49.35,266.26,96.435,90.77,122.24,20.81,57.24,21.56,98.64,215.22,48.24,256.6,93.55,81.13,84.02,199.47,47.3,185.13,131.87,258.54
2022-05-17 04:00:00,203.64,50.29,271.16,98.265,91.39,127.33,21.49,60.42,22.19,100.71,215.58,52.76,261.69,97.11,82.89,86.88,207.44,48.92,190.99,136.29,264.41
