Ticker,Company Name
BLD,TopBuild Corp. Common Stock
CACI,CACI INTERNATIONAL CLA
CHDN,Churchill Downs Inc
CLH,"Clean Harbors, Inc"
CSL,"Carlisle Companies, Inc."
EME,"EMCOR Group, Inc."
EVR,Evercore Inc.
EXP,"Eagle Materials, Inc."
GPK,Graphic Packaging Holding Company
HQY,"HealthEquity, Inc"
KRG,Kite Realty Group Trust
LII,Lennox International Inc.
MANH,Manhattan Associates Inc
OC,Owens Corning
POST,"POST HOLDINGS, INC."
RPM,"RPM International, Inc."
SAIA,"Saia, Inc."
SAM,Boston Beer Company
TOL,"Toll Brothers, Inc."
UTHR,United Therapeutics Corp
VMI,"Valmont Industries, Inc."
WLK,Westlake Corporation
