Date,GOOG,TSLA,ORCL,AMD,ADBE,CRM,AMGN,CAT,NOW,REGN,KKR,EQIX,NXPI,MSI,PCAR,ROST,NSC,GWW,DHI,LHX,URI,LEN,FICO,MLM,IRM,NTAP,FSLR,WST,NVR,HUBB,BLDR,KIM,EMN,BIO
2022-05-02 04:00:00,117.157,300.98,74.0,89.84,407.29,177.57,230.92,212.07,484.5,652.02,52.94,702.39,177.0,214.77,56.0067,101.32,256.61,490.82,70.76,235.21,307.03,75.3921,374.09,355.36,50.7,74.0,73.64,312.25,4432.65,194.4,63.28,24.62,101.86,501.42
2022-05-03 04:00:00,118.1295,303.0833,73.29,91.13,407.58,178.36,232.19,213.62,481.86,660.49,54.29,721.32,178.07,215.19,56.72,100.45,256.08,483.99,71.72,237.53,312.45,76.6602,370.52,366.48,52.57,74.06,75.11,306.45,4475.53,195.08,64.83,25.05,104.95,500.93
2022-05-04 04:00:00,122.575,317.54,75.21,99.42,423.35,185.48,236.1,222.59,499.46,660.86,57.35,732.14,185.92,219.38,58.6733,103.92,264.67,505.05,75.57,241.8,320.51,80.7648,378.42,377.57,54.64,76.7,78.7,318.44,4685.09,200.2,68.61,25.31,108.05,513.58
2022-05-05 04:00:00,116.7465,291.0933,72.8,93.87,400.51,172.3,234.35,215.93,469.33,639.37,55.36,713.39,178.37,210.39,56.8,99.89,256.87,483.14,71.15,241.48,303.2,76.2827,362.67,356.14,54.58,73.11,76.41,314.76,4446.0,196.88,65.91,24.2,105.67,507.45
2022-05-06 04:00:00,115.66,288.55,72.49,95.34,391.01,169.7,236.5,214.65,456.74,623.05,53.55,713.44,177.58,206.51,56.3333,96.24,255.74,477.92,70.02,243.83,295.46,76.031,349.89,346.0,54.24,72.99,72.14,306.34,4415.62,196.51,65.09,23.99,105.89,501.46
2022-05-09 04:00:00,113.084,262.37,71.54,86.36,376.91,163.6,239.24,206.29,425.87,599.77,49.86,654.19,172.9,202.08,56.9,93.41,249.5,476.82,69.93,239.25,286.82,74.8112,341.44,332.79,53.01,71.32,68.25,296.82,4370.16,196.93,64.75,23.35,103.42,479.05
2022-05-10 04:00:00,114.5845,266.68,72.53,88.73,393.03,167.15,240.71,202.99,432.32,615.09,51.16,630.05,178.44,202.85,55.8333,89.62,245.75,469.33,68.21,237.68,293.69,73.3398,358.41,328.14,51.5,73.02,67.58,296.26,4274.21,191.88,65.13,22.73,102.14,490.17
2022-05-11 04:00:00,113.961,244.6667,71.03,87.92,379.33,161.27,240.64,205.21,420.36,613.05,50.15,624.17,170.87,201.95,55.0733,87.85,246.54,459.18,64.86,238.48,280.82,69.0223,351.09,321.56,50.55,69.74,61.72,290.8,4110.99,189.24,62.99,22.19,101.86,475.22
2022-05-12 04:00:00,113.161,242.6667,70.73,87.06,388.49,160.42,244.72,203.03,432.94,633.96,48.3,629.88,173.66,201.54,55.66,89.12,246.06,469.24,67.56,235.56,283.02,71.9942,352.73,327.57,51.9,69.68,61.4,295.99,4247.75,194.45,64.0,22.5,101.03,482.81
2022-05-13 04:00:00,116.5155,256.53,71.17,95.12,405.45,166.91,243.4,204.33,452.65,645.52,51.57,659.8,181.99,215.29,55.8333,92.06,249.32,477.33,68.53,236.18,288.44,74.3078,361.53,332.84,52.33,71.21,64.25,304.97,4293.57,194.18,66.89,23.25,103.05,502.11
